Name	Short_Name	City	State	Website	Email	Phone_Number	Deadline	Letters_Of_Evaluation	Supplemental_App	Shadowing	Shadow_Hours_Minimum	Application_Fee	Community_College_Credits_Accepted	Resident_Tuition	Non-Resident_Tuition	Additional_Fees	AA	DAT	PAT	TS	Min_GPA	Min_GPA(Science)	Avg_GPA	Avg_GPA(Science)	Accepted_Percentage	Class_Size	Total_Enrollment	Gradying_System	Student_Ranking	Dual_Admission	Other_Degrees_Offered	Housing_Offered	Students per chair	State_Resident_Required	Non-resident spots	Prerequisite_Courses_Per_Semester_Hours
The University of Alabama at Birmingham School of Dentistry	Alabama	Birmingham	Alabama	https://www.uab.edu/dentistry/home/	dentaladmissions@uab.edu	(205)934-3387	October	1 - Pre-Health Committee or Pre-Health Advisor Letter; 1 - Reference letter from a dentist you have shadowed (preferred)	Yes	Yes	NULL	$75	Yes	$29,782	$69,420	Varies	21.56	20.96	20.3	21.08	3	NULL	3.77	3.72	7%	84	325	Pass / Fail & Grades	Yes	No	MBA, Ph.D, AEGD, Endo, GPR, OMFP, OMFS, Ortho, Pedo, Perio, Prosth	No	NULL	No	NULL	Biology 12; Chemistry 8; English 6–12; Math 6; Organic Chemistry 8; Other 30 - Non-Science; Physics 8
Arizona School of Dentistry & Oral Health	Midwestern-Arizona	Glendale	Arizona	https://www.midwestern.edu/	Glendel Campus email : admissaz@midwestern.edu	(623)572-3800	November	1 - Pre-Health Committee or Science Faculty Letters and 1- Dental Letter (Community Service Supervisor Letters are recommended)	Yes	Yes	100	$70	Yes	$90,514	$90,514	$12,788	19.56	19.5	19.74	19.21	2.75	2.75	3.48	3.37	NULL	78	308	Pass / Fail	No	No	MPH, Ortho	No	1	No	78	Anatomy 3; Biochemistry 3; Biology 8; Chemistry 8; English 3; Organic Chemistry 8; Physics 8; Physiology 3
Midwestern University College of Dental Medicine-Arizona	Arizona	Mesa	Arizona	https://www.atsu.edu/arizona-school-of-dentistry-and-oral-health	admissions@atsu.edu	(866)-626-2878 ext.2237	January	1 - Science Faculty Letter and 1 - Dentist Letter or 1 - Predental Advisory Committee Letter	Yes	Yes	120	$50	Yes	$83,824	$83,824	$14,605	20	21	20	20	3	3	3.51	3.4	13%	147	582	Letter Grades	Yes	No	MPH	Yes	2	No	118	Anatomy 3; Biochemistry 3; Biology  8 w/labs; Chemistry  8 w/labs; English 6; Microbiology 3; Organic Chemistry  4 w/labs; Physics 8; Physiology 3; Other - Bachelor’s Degree
California Northstate University College of Dental Medicine	California Northstate	Elk Grove	California	dentalmedicine.cnsu.edu	cdm.admissions@cnsu.edu	(916)686-7300	March	3 Letters	Yes	Encouraged, not required	NULL	$100	Yes	Refer to program website	Refer to program website	$17,000 - $20,000	NULL	19	NULL	NULL	3.2	3.2	NULL	NULL	NULL	40	NULL	Pass / Fail	No	NULL	NULL	NULL	2 for D1, D2 and then 1 for D3, D4	No	NULL	Biochemistry 1 semester, 1 quarter, or 3 units; Biology 2 semesters, or 3 quarters, or 1 year w/labs; Chemistry 2 semesters, or 3 quarters, or 1 year w/labs; Organic Chemistry 2 semesters, or 3 quarters, or 1 year w/labs; Physics 2 semesters, 3 quarters, or 1 year
Loma Linda University School of Dentistry	Loma Linda	Loma Linda	California	dentistry.llu.edu	admissions.sd@llu.edu	(909)558-4790	November	1 - Pre-Professional Committee or Science Faculty Letter, 1 - Spiritual Leader Letter and 1 - Employer or Professional Acquaintance Letter.	Yes	Yes	50	$150	Yes	$74,950	$74,950	$9,371	20.52	20.47	21.44	20.2	2.5	2.5	3.57	3.49	13%	100	540	Letter Grades	Yes	No	Other (DDS/MA in Bioethics), Endo, Implant, OMFS, Oral Surgery,    Ortho, Pedo, Perio, Prosth	Yes	1	No	NULL	Biochemistry 4; Biology 8; Chemistry 8; English 8; Organic Chemistry 8; Physics 8
University of California, Los Angeles School of Dentistry	Los Angeles	Los Angeles	California	dentistry.ucla.edu	admissions@dentistry.ucla.edu	(310)794-7971	January	3 Letters minimum from any objective source, such as a science instructor, dentist, supervisor at work, research mentor, etc.	No	Encouraged, not required	NULL	$60	Yes	$47,360	$59,605	NULL	22	22	22	22	NULL	NULL	3.83	3.81	NULL	88	403	Pass / Fail	No	No	Ph.D, AEGD, Endo, GPR, OMFP, OMFR, OMFS, Orofacial Pain, Ortho, Pedo, Perio, Prosth	Yes	NULL	No	15	Biochemistry 3; Biology 8; Chemistry 8; English 6; Organic Chemistry 6; Other - Psychology 3; Physics 8
University of the Pacific Arthur A. Dugoni School of Dentistry	Pacific	San Francisco	California	dental.pacific.edu	sconstantino@pacific.edu	(415)929-6491	February	1 - Pre-Health Committee Letter or 2 - Biomedical Science Faculty and 1 - Professional	No	Yes	40	$75	Yes	$124,185	$124,185	Varies	22	NULL	22	22	NULL	NULL	NULL	NULL	6%	148	432	Letter Grades	Yes	Yes	Endo, Ortho	No	NULL	No	NULL	Biology 16; Chemistry 8; English 8; Organic Chemistry 8; Physics 8
University of California, San Francisco School of Dentistry	San Francisco	San Francisco	California	dentistry.ucsf.edu	admissions.ucsfdental@ucsf.edu	(415)476-2737	October	1 - Science Faculty Letter, 1 - Shadow Dentist, Advisor or Mentor Letter and 1 - Other Letter or 1 - Composite letter    sent from a pre-professional health advisory committee in lieu of the three required letters	No	Encouraged, not required	NULL	$75	Yes	$57,587	$69,832	Yes	22	22	21	22	NULL	NULL	3.7	3.76	5%	60	335	Pass / Fail	No	No	MBA, Ph.D., AEGD, Endo, GPR, OMFS, Oral Medicine, Ortho, Pedo, Perio, Prosth, Public Health	Yes	1.8	No	NULL	Biochemistry 3; Biology 8; Chemistry 8; English 6; Organic Chemistry 4; Physics 8; Other - Psychology  3
Herman Ostrow School of Dentistry of USC	Southern California	Los Angeles	California	https://dentistry.usc.edu/	uscsdadm@usc.edu	(213)740-2851	February	1 - Letter from a DDS and 1 - Pre-Health Committee Letter or 2 - Faculty Letters	No	No	NULL	$85/$145	Yes	$108,324	$108,324	$20,896	21	NULL	20	20	2.89	2.89	3.73	3.67	13%	144	644	Letter Grades	No	No	Endo, Geriatric, GPR, OMFS, Operative Dentistry, Orofacial Pain, Ortho, Pedo, Perio, Prosth	Yes	1	No	NULL	Biology 1 year; Chemistry 1 year; English 1 year; Organic Chemistry 1 year; Physics 1 year
Western University of Health Sciences College of Dental Medicine	Western	Pomona	California	westernu.edu	scampos@westernu.edu	(909) 469-5335	December 	1-prehealth committee letter, or 2 - Science Faculty Letters and 1 - Dentist Letter	Yes	Yes	100	$60	Yes	$71,185	$71,185	$6,111	19	19	20	19	NULL	NULL	3.32	3.04	4%	69	280	Letter Grades	Yes	No	No	Yes	2	No	NULL	Biology 8w/lab: Chemistry 8w?lab; English 6; Organic chemistry 8w/lab; Physics 8w/labs
University of Colorado School of Dental Medicine	Colorado	Aurora	Colorado	ucdenver.edu/dentalmedicine	DDSadmissioninquiries@ucdenver.edu 	(303)724-7120	October	1 - Pre-Health Committeeor Shadowed Dentist / Employer Letter;2 - Science Faculty Letters	Upon Request	Yes	50	$90	Yes	$41,344	$86,339	$19,904	20	20	19.9	20	NULL	NULL	3.67	3.48	6%	80	400	Letter Grades	Yes	Yes	GPR,OMFS,Ortho,Pedo,Perio	No	1	No	30-40	Biochemistry 3; Biology 8w/labs; Chemistry 8w/labs;English 3;Microbiology 3; Organic chemistry 8W/labs; Physics 8w/labs
University of Connecticut School of Dental Medicine	Connecticut	Farmington	Connecticut	dentalmedicine.uconn.edu	Anna Dongari-Bagtzoglou, DDS, MS, Ph.D., F(AAM),Associate Dean, email ; adongari@uchc.edu	(860)679-2175	December 	1 - Pre-Health CommitteeLetter or 2 - Science Faculty Letters and1 - Other Letter	No	Yes	50	$75	yes	$41,291	$83,352	$2,986	22	NULL	NULL	22	3	3	3.7	3.7	NULL	52	203	pass/fail	No	Yes	AEGD, Endo, OMFR, OMFS,Ortho, Pedo, Perio, Prosth	No	1	No	NULL	Biochemistry 3; Biology 8; Chemistry 8; Organic Chemistry 8; Physics 8
Howard University College of Dentistry	Howard	Washington	Washington, DC	healthsciences.howard.edu/education/colleges/dentistry	HUCDAdmit@howard.edu	202-806-0019	February	2 - Science Faculty Letters and1 - Dentist Letter or 1 - Pre-Health Committee Letter	No	Yes	30	$75	yes	$46,000	$46,000	Varies	19	NULL	18	19	2.85	2.85	3.3	3.14	NULL	75-80	272	Letter Grades	Yes	Yes	AEGD, GPR, OMFS, Ortho, Pedo	Yes	1	No	75-80	Anatomy 4–6 w/lab; Biochemistry 3; Biology 8; Chemistry 8; English 6; Organic Chemistry 8 ;Physics 8; Physiology 3;
LECOM School of Dental Medicine	LECOM	Bradenton	Florida	lecom.edu	dentalfla@lecom.edu , or contact us page : https://lecom.edu/contact/	(941)405-1600	February	2 - Science Faculty Letters	Yes	Yes	100	$50	yes	$58,505	$58,505	$20,217($13,703 Dental Kit fee)	21	21	20	20	2.7	2.7	3.7	3.6	3%	100	415	Letter Grades	Yes	No	MHSA, MPH, MSBE	No	1	No	NULL	Biochemistry 3/5 ;Biology 8/12; w/labs; Chemistry 8/12 w/labs; English - Writing Intensive 6/9; Organic Chemistry 8/12 w/labs
Nova Southeastern University College of Dental Medicine	Nova Southeastern	Fort Lauderdale	Florida	dental.nova.edu	kalysia@nova.edu	954-262-7302	November	2 - Faculty Letters and1 - Other Letter (Total of 3, can submit 4)2 - Science Instructors, 1 Liberal Arts Instructorand 1 - Dentist recommended	yes	Encouraged, not required	Not required	$50	yes	$77,463	$77,463	$17,000	21	21	21	19	3	3	3.7	3.6	6%	D1 class - 130; D2 class - 167; D3 class - 154; D4 class - 129	579	letter Grades	Yes	Yes	AEGD, Endo, OMFS, Ortho,Pedo, Perio, Prosth	Yes	2	No	NULL	Biochemistry 3; Biology 8 w/labs; Chemistry 8 w/labs; English 6; Microbiology 3; Organic Chemistry 8 w/labs; Physics 8 w/labs
